,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
813444,5.0,8.0,1.0,18.0,26.0,32.0,1.0,4.0,8.0,20.0,0.0,No,0.0,0.9,0.92,0.0,No,No,No,Yes,No,No
368740,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
190230,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.96,0.97,0.0,No,No,No,Yes,No,No
1014580,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.89,0.93,0.0,No,No,No,Yes,No,No
248787,140.0,,0.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,3.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
1676706,62.0,0.0,1.0,0.0,0.0,0.0,5.0,21.0,52.0,73.0,10.0,No,0.0,0.0,0.0,0.0,No,No,No,No,No,No
1353342,2.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,No,0.0,0.0,0.0,0.0,No,No,Yes,Yes,No,No
752109,42.0,,0.0,0.0,0.0,0.0,1.0,4.0,14.0,17.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
416632,24.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,No,0.0,0.94,0.97,0.0,No,No,No,Yes,No,No
149707,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.98,0.9,0.0,No,No,Yes,Yes,No,No
1083888,4885.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,No,0.0,0.59,0.78,0.0,No,No,No,Yes,No,No
706198,67.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.68,0.66,0.0,No,No,No,Yes,No,No
1503762,25.0,2.0,0.0,0.0,0.0,8.0,4.0,9.0,13.0,19.0,0.0,No,0.0,0.89,0.94,0.0,No,No,No,Yes,No,No
298937,535.0,8.0,0.0,0.0,0.0,0.0,9.0,30.0,56.0,79.0,6.0,No,0.0,0.93,0.94,0.0,No,No,No,Yes,No,No
650995,204.0,9.0,0.0,0.0,0.0,0.0,7.0,21.0,50.0,71.0,0.0,No,0.0,0.86,0.84,0.0,No,No,No,Yes,No,No
100344,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.19,0.16,0.0,No,No,No,Yes,No,No
118736,28.0,8.0,0.0,0.0,0.0,0.0,6.0,12.0,29.0,35.0,0.0,No,0.0,0.98,0.95,0.0,No,No,No,Yes,No,No
373558,9.0,8.0,0.0,4.0,10.0,18.0,4.0,8.0,12.0,21.0,4.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
1187559,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.76,0.78,0.0,No,No,No,Yes,No,No
327049,64.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,15.0,23.0,1.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,No
196735,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.77,0.8,0.0,Yes,No,No,Yes,No,No
361110,15.0,8.0,0.0,46.0,72.0,72.0,0.0,18.0,44.0,69.0,6.0,No,0.0,0.4,0.32,0.0,No,No,No,Yes,No,No
58680,84.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.75,0.74,0.0,No,No,No,Yes,No,No
436911,0.0,2.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,No,500.0,0.59,0.78,0.0,No,No,Yes,Yes,No,No
698468,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
921790,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,0.99,0.94,0.0,No,No,No,Yes,No,No
511111,167.0,8.0,40.0,420.0,1040.0,1340.0,38.0,186.0,801.0,1406.0,112.0,No,0.0,0.96,0.92,0.0,No,No,No,Yes,No,No
876379,110.0,8.0,0.0,288.0,384.0,480.0,51.0,178.0,293.0,420.0,54.0,No,0.0,0.99,0.98,0.0,No,No,No,Yes,No,No
1264950,8.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,7.0,0.0,No,0.0,0.85,0.82,0.0,Yes,No,No,Yes,No,No
906100,72.0,8.0,10.0,11.0,11.0,11.0,4.0,15.0,49.0,73.0,4.0,No,0.0,0.94,0.95,0.0,No,No,No,Yes,No,No
1158179,15.0,12.0,0.0,0.0,0.0,10.0,3.0,6.0,12.0,18.0,0.0,No,0.0,0.9,0.89,0.0,No,No,No,Yes,No,No
1600166,401.0,8.0,134.0,0.0,98.0,196.0,6.0,8.0,9.0,9.0,144.0,No,0.0,0.83,0.86,0.0,No,No,No,Yes,No,No
722810,15.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,5.0,0.0,No,0.0,0.86,0.84,0.0,No,No,No,Yes,No,No
1235623,38.0,12.0,0.0,0.0,0.0,112.0,2.0,12.0,30.0,41.0,2.0,No,0.0,0.76,0.85,0.0,No,No,No,Yes,No,No
342007,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
372709,37.0,17.0,0.0,0.0,96.0,96.0,1.0,9.0,39.0,59.0,2.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
131388,2.0,8.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0,No,0.0,0.15,0.34,0.0,No,No,No,Yes,No,No
482808,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,1.0,0.98,0.0,No,No,No,Yes,No,No
663202,9.0,12.0,0.0,0.0,5.0,10.0,0.0,1.0,9.0,10.0,0.0,No,0.0,0.42,0.36,0.0,No,No,No,Yes,No,No
960931,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,No,0.0,0.46,0.38,0.0,Yes,No,No,Yes,No,No
625512,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.99,0.98,0.0,No,No,Yes,Yes,No,No
28417,12.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,No,0.0,1.0,0.97,0.0,Yes,No,Yes,Yes,No,No
397030,236.0,8.0,0.0,0.0,0.0,0.0,20.0,60.0,132.0,209.0,9.0,No,0.0,0.83,0.83,0.0,No,No,No,Yes,No,No
514973,157.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,No,0.0,0.79,0.66,0.0,No,No,No,Yes,No,No
673744,90.0,2.0,30.0,60.0,120.0,210.0,14.0,61.0,157.0,220.0,23.0,No,0.0,0.66,0.71,0.0,No,No,No,Yes,No,No
739122,99.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,No,0.0,0.0,0.0,0.0,No,No,Yes,Yes,No,No
1444167,8.0,8.0,0.0,6.0,9.0,12.0,2.0,5.0,13.0,21.0,0.0,No,0.0,0.95,0.89,0.0,No,No,No,Yes,No,No
939139,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.94,0.94,0.0,No,No,No,Yes,No,No
860658,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.1,0.12,0.0,Yes,No,No,Yes,No,No
528860,110.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.93,0.92,0.0,No,No,No,Yes,No,No
605188,2.0,9.0,0.0,4.0,7.0,11.0,0.0,4.0,6.0,8.0,2.0,No,0.0,0.52,0.41,0.0,No,No,No,Yes,No,No
1052,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,No,0.0,0.98,0.98,0.0,No,No,No,Yes,No,No
680927,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.77,0.81,0.0,Yes,No,No,Yes,No,No
216313,23.0,8.0,122.0,697.0,1190.0,1766.0,252.0,664.0,1114.0,1576.0,195.0,No,0.0,0.99,0.97,1.0,No,No,No,Yes,No,No
769964,6.0,8.0,0.0,3.0,6.0,9.0,1.0,3.0,8.0,14.0,0.0,No,0.0,0.84,0.87,0.0,No,No,No,Yes,No,No
1513529,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,No
631762,4.0,2.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.92,0.96,0.0,Yes,No,Yes,Yes,No,No
1666031,40.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
1402288,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,0.73,0.79,0.0,Yes,No,No,Yes,No,No
550180,1.0,9.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,No,0.0,0.68,0.66,0.0,No,No,Yes,Yes,No,No
540146,788.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.15,0.35,0.0,No,No,No,Yes,No,No
1546112,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,No
876486,17.0,8.0,4.0,4.0,12.0,32.0,1.0,12.0,24.0,42.0,2.0,No,0.0,0.94,0.82,0.0,No,No,No,Yes,No,No
1265167,151.0,2.0,21.0,40.0,80.0,120.0,25.0,51.0,68.0,79.0,25.0,No,0.0,0.68,0.68,0.0,No,No,No,Yes,No,No
442232,29.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,17.0,0.0,No,0.0,0.91,0.63,0.0,No,No,No,Yes,No,No
1566727,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,No
606351,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.64,0.0,No,No,No,Yes,No,No
1673844,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.82,0.81,0.0,No,No,No,Yes,No,No
731460,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.57,0.7,0.0,No,No,No,Yes,No,No
1057803,4.0,12.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0,1.0,No,0.0,0.69,0.79,0.0,No,No,No,Yes,No,No
1025731,406.0,8.0,3378.0,0.0,0.0,0.0,159.0,489.0,987.0,1598.0,96.0,No,0.0,0.8,0.8,0.0,No,No,No,Yes,No,No
222689,1720.0,8.0,1350.0,624.0,2496.0,3744.0,1218.0,2177.0,5365.0,6190.0,225.0,No,0.0,0.94,0.93,0.0,No,No,No,Yes,No,No
253281,5.0,12.0,0.0,4.0,8.0,12.0,4.0,5.0,8.0,9.0,0.0,No,0.0,0.87,0.75,0.0,No,No,No,Yes,No,No
1228656,6.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,No,0.0,1.0,1.0,0.0,Yes,No,No,No,No,No
1062873,708.0,8.0,27.0,0.0,102.0,204.0,38.0,177.0,267.0,438.0,71.0,No,0.0,0.82,0.89,0.0,No,No,No,Yes,No,No
1001067,2801.0,8.0,0.0,0.0,0.0,0.0,112.0,273.0,523.0,857.0,47.0,No,0.0,0.99,0.99,0.0,No,No,No,No,No,No
278557,5.0,52.0,0.0,0.0,0.0,0.0,3.0,12.0,29.0,46.0,0.0,No,0.0,0.84,0.89,0.0,Yes,No,No,No,No,No
1659546,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,No,0.0,0.82,0.81,0.0,No,No,No,Yes,No,No
506263,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,0.91,0.68,0.0,No,No,No,Yes,No,No
317310,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No,0.0,0.81,0.89,0.0,Yes,No,No,Yes,No,No
644827,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
1507249,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.78,0.75,0.0,No,No,No,Yes,No,No
1091070,9.0,8.0,0.0,26.0,52.0,52.0,11.0,17.0,39.0,80.0,4.0,No,0.0,0.31,0.54,0.0,No,No,No,Yes,No,No
954690,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.79,0.67,0.0,No,No,No,Yes,No,No
1375152,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.55,0.44,0.0,No,No,No,Yes,No,No
1042512,7.0,14.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,No,0.0,0.89,0.9,0.0,No,No,No,Yes,No,No
1121167,51.0,8.0,11.0,20.0,20.0,60.0,10.0,41.0,99.0,148.0,17.0,No,0.0,0.68,0.69,0.0,No,No,Yes,Yes,No,No
70317,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.93,0.96,0.0,No,No,Yes,Yes,No,No
560335,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
1354873,201.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
353881,912.0,8.0,24.0,800.0,1640.0,2720.0,394.0,1268.0,2587.0,3972.0,319.0,No,0.0,0.95,0.94,0.0,No,No,No,Yes,No,No
1129933,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.38,0.44,0.0,No,No,Yes,Yes,No,No
1159468,30.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,12.0,0.0,No,0.0,0.78,0.71,0.0,Yes,No,No,Yes,No,No
979937,0.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,No,0.0,0.73,0.76,0.0,No,No,Yes,Yes,No,No
503759,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.98,0.0,Yes,No,No,Yes,No,No
199678,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,No,0.0,0.87,0.68,0.0,No,No,No,Yes,No,No
1136583,13.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
619578,38.0,8.0,1.0,0.0,8.0,8.0,0.0,4.0,16.0,30.0,2.0,No,0.0,0.86,0.91,0.0,No,No,No,Yes,No,No
935092,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.57,0.7,0.0,No,No,No,Yes,No,No
1465839,199.0,8.0,136.0,631.0,1071.0,1448.0,201.0,524.0,986.0,1530.0,353.0,No,0.0,0.76,0.76,0.0,No,No,No,Yes,No,No
1364171,90.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,No,0.0,0.0,0.0,0.0,No,No,No,No,No,No
1137018,144.0,,0.0,0.0,0.0,0.0,1.0,8.0,14.0,22.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
475260,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.17,0.33,0.0,Yes,No,No,Yes,No,No
900048,72.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.9,0.88,0.0,No,No,Yes,Yes,No,No
1401565,52.0,8.0,0.0,32.0,32.0,64.0,5.0,25.0,50.0,87.0,18.0,No,0.0,0.93,0.97,0.0,No,No,No,Yes,No,No
611887,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,No,0.0,0.71,0.75,0.0,No,No,No,Yes,No,No
1463951,13.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,No
23046,35.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,20.0,2.0,No,0.0,0.95,0.97,0.0,No,No,No,Yes,No,No
1140043,100.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
594062,3.0,4.0,0.0,5.0,8.0,8.0,0.0,3.0,3.0,3.0,0.0,No,0.0,0.89,0.9,0.0,No,No,No,Yes,No,No
1249364,99.0,2.0,35.0,70.0,140.0,210.0,35.0,90.0,159.0,224.0,31.0,No,0.0,0.98,0.98,0.0,No,No,No,Yes,No,No
1150193,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,No,0.0,0.99,0.96,0.0,No,No,No,Yes,No,No
214602,36.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,No,0.0,0.79,0.78,0.0,Yes,No,Yes,Yes,No,No
374690,104.0,8.0,0.0,60.0,180.0,252.0,37.0,109.0,231.0,405.0,21.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,No
1636289,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,No,0.0,0.97,0.97,0.0,No,No,Yes,Yes,No,No
1501040,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,No,No,No,Yes,No,No
1543475,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.99,0.0,Yes,No,No,Yes,No,No
1538082,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.94,0.96,0.0,Yes,No,No,Yes,No,No
269768,1.0,9.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,No,0.0,0.68,0.66,0.0,No,No,No,Yes,No,No
492937,2684.0,10.0,20.0,1500.0,3000.0,4500.0,296.0,1511.0,2031.0,2537.0,570.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,No
266945,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
1429802,72.0,8.0,0.0,7.0,28.0,54.0,7.0,18.0,65.0,102.0,18.0,No,0.0,0.79,0.87,0.0,No,No,No,Yes,No,No
1171776,338.0,8.0,0.0,0.0,0.0,0.0,24.0,77.0,123.0,601.0,9.0,No,0.0,0.82,0.89,0.0,No,No,No,Yes,No,No
444386,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.99,0.97,0.0,No,No,No,Yes,No,No
888464,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.15,0.09,0.0,No,No,Yes,Yes,No,No
1427710,10.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No,0.0,0.93,0.95,0.0,No,No,No,Yes,No,No
1146213,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,No,0.0,0.97,0.46,0.0,No,No,No,Yes,No,No
912088,86.0,8.0,28.0,89.0,140.0,279.0,37.0,158.0,297.0,391.0,69.0,No,0.0,0.41,0.46,0.0,No,No,No,Yes,No,No
973377,5.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,1.0,No,0.0,0.92,0.92,0.0,Yes,No,No,Yes,No,No
256808,8.0,2.0,0.0,60.0,60.0,60.0,10.0,12.0,19.0,19.0,0.0,No,0.0,0.95,0.97,0.0,Yes,No,No,Yes,No,No
479654,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
394484,15.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,2.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
1205113,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
424045,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.78,0.78,0.0,No,No,No,Yes,No,No
89601,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.48,0.53,0.0,No,No,No,Yes,No,No
877818,36.0,9.0,0.0,4.0,18.0,32.0,7.0,9.0,19.0,25.0,0.0,No,0.0,0.85,0.82,0.0,Yes,No,No,Yes,No,No
948222,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.4,0.39,0.0,No,No,No,Yes,No,No
866016,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
252232,31.0,8.0,1.0,14.0,43.0,63.0,8.0,24.0,47.0,69.0,3.0,No,0.0,0.94,0.87,0.0,No,No,No,Yes,No,No
1454700,1986.0,8.0,530.0,763.0,2653.0,3415.0,124.0,555.0,2293.0,3763.0,150.0,No,0.0,0.68,0.68,2.0,No,No,No,Yes,No,No
1436863,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,No,0.0,0.78,0.75,0.0,No,No,No,Yes,No,No
1356039,4.0,8.0,0.0,1.0,3.0,5.0,2.0,4.0,5.0,5.0,1.0,No,0.0,-99.0,1.0,0.0,No,No,No,Yes,No,No
466260,11.0,2.0,0.0,0.0,5.0,5.0,0.0,4.0,4.0,4.0,0.0,No,0.0,0.82,0.9,0.0,Yes,No,No,Yes,No,No
850166,50.0,2.0,0.0,31.0,62.0,93.0,2.0,25.0,54.0,75.0,4.0,No,0.0,0.99,0.98,0.0,No,No,No,Yes,No,No
1031021,0.0,2.0,0.0,94.0,166.0,190.0,0.0,0.0,0.0,0.0,8.0,No,0.0,0.1,0.04,0.0,Yes,No,No,Yes,No,No
648496,13.0,2.0,0.0,0.0,0.0,5.0,5.0,10.0,12.0,17.0,0.0,No,0.0,1.0,0.99,0.0,Yes,No,No,Yes,No,No
