national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder,
150,1,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.84,0,No,No,No,Yes,No,No
151,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
152,3,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
153,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
154,8,8,0,0,0,0,0,0,0,0,0,No,0,0.92,0.91,0,No,No,No,Yes,No,No
155,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
156,63,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
157,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
158,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
159,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
160,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
161,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
162,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
163,7,8,0,0,0,0,0,0,0,0,0,No,0,0.79,0.79,0,No,No,No,Yes,No,No
164,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
165,49,,0,0,0,0,0,0,0,0,4,No,0,-99,-99,0,No,No,No,No,No,No
166,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
167,18,8,0,0,0,0,0,0,0,0,0,No,0,0.87,0.92,0,No,No,No,Yes,No,No
168,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
169,0,2,0,0,0,0,0,0,0,0,0,No,0,0.37,0.34,0,No,No,No,Yes,No,No
170,239,,0,0,0,0,0,0,0,0,3,No,0,-99,-99,0,No,No,No,No,No,No
171,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
172,6552,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
173,6398,12,0,0,0,0,0,0,0,0,0,No,0,0.74,0.69,0,No,No,Yes,Yes,No,No
174,11,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
175,69,4,0,0,0,0,0,0,2,3,1,No,0,0.35,0.52,0,No,No,No,Yes,No,No
176,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
177,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
178,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
179,2,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
180,49,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
181,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
182,3257,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
183,3,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
184,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
185,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
186,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
187,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
188,0,,0,0,0,0,0,0,0,2,0,No,0,-99,-99,0,No,No,No,Yes,No,No
189,0,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
190,11,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
191,29,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
192,52,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
193,3,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.98,0,No,No,No,Yes,No,No
194,5,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
195,11,,0,0,0,0,0,3,6,27,3,No,0,-99,-99,0,No,No,No,No,No,No
196,23,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
197,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
198,58,,0,0,0,0,0,0,0,0,3,No,0,-99,-99,0,No,No,No,No,No,No
199,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
200,0,,0,0,0,0,0,1,3,3,0,No,0,-99,-99,0,No,No,No,Yes,No,No
201,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
202,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
203,1615,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
204,5,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
205,95,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
206,4,8,0,0,0,0,0,0,0,0,1,No,0,0.35,0.36,0,No,No,No,Yes,No,No
207,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
208,19,8,0,0,0,0,0,0,0,0,0,No,0,-99,1,0,No,No,No,Yes,No,No
209,0,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.97,0,No,No,No,Yes,No,No
210,5,2,0,0,0,0,0,0,1,1,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
211,0,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
212,114,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
213,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
214,0,2,0,0,0,0,0,0,0,0,0,No,0,0.87,0.9,0,No,No,No,Yes,No,No
215,7,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,No,No,No
216,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
217,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
218,2,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
219,65,52,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
220,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
221,8,,0,0,0,0,0,0,2,3,1,No,0,-99,-99,0,No,No,Yes,No,No,No
222,79,,0,0,0,0,1,2,4,5,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
223,28,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
224,3,9,0,0,0,0,0,0,0,0,1,No,0,0.54,0.48,0,No,No,No,Yes,No,No
225,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
226,52,2,0,0,0,0,0,0,0,3,0,No,0,0.48,0.36,0,Yes,No,No,Yes,No,No
227,2,9,0,0,0,0,0,0,0,0,1,No,0,0.7,0.66,0,No,No,No,Yes,No,No
228,100,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
229,0,8,0,0,0,0,0,0,0,0,0,No,0,0.66,0.67,0,No,No,No,Yes,No,No
230,40,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
231,41,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
232,408,,0,0,0,0,0,8,8,13,0,No,0,-99,-99,0,Yes,No,No,No,No,No
233,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
234,7,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
235,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
236,2860,,0,550,2550,4550,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
237,32,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
238,53,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
239,17,,0,0,0,0,0,1,1,1,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
240,102,,0,0,0,0,0,0,1,2,0,No,0,-99,-99,0,Yes,No,No,No,No,No
241,42,,0,0,0,0,0,1,1,2,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
242,1,9,0,0,0,0,0,0,0,0,1,No,0,0.7,0.77,0,No,No,No,Yes,No,No
243,379,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
244,180,8,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
245,47,,0,0,0,0,0,2,2,3,0,No,0,-99,-99,0,No,No,No,No,No,No
246,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
247,10,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
248,3,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
249,23,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
250,828,12,0,0,0,0,0,0,0,0,0,No,0,0.92,0.9,0,No,No,No,Yes,No,No
251,28,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
252,1,12,0,0,0,0,0,0,0,0,0,No,0,0.07,0.19,0,No,No,No,Yes,No,No
253,48,,0,0,12,12,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
254,3,8,0,0,0,2,0,0,1,1,0,No,0,0.9,0.94,0,No,No,No,Yes,No,No
255,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
256,19,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
257,77,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
258,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
259,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
260,179,,0,0,0,0,7,29,80,108,3,No,0,-99,-99,0,No,No,Yes,Yes,No,No
261,93,8,0,0,0,0,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,No
262,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
263,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
264,2783,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
265,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
266,53,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
267,6,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
268,0,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
269,19,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
270,15,12,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
271,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
272,7,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,Yes,No,No,Yes,No,No
273,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
274,0,2,0,0,0,0,0,0,0,0,0,No,0,0.87,0.9,0,No,No,No,Yes,No,No
275,0,,0,0,1,1,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
